,model,rank,lambda,epoch,optimizer,NDCG,R-Precision
132,IFVAE,50,0.0001,129,Adam,0.1645,0.0954
133,IFVAE,50,0.0001,139,Adam,0.1652,0.0951
134,IFVAE,50,0.0001,149,Adam,0.1659,0.0958
135,IFVAE,50,0.0001,159,Adam,0.1667,0.0959
136,IFVAE,50,0.0001,169,Adam,0.1672,0.0969
137,IFVAE,50,0.0001,179,Adam,0.1674,0.0963
138,IFVAE,50,0.0001,189,Adam,0.1679,0.0967
139,IFVAE,50,0.0001,199,Adam,0.1686,0.0973
140,IFVAE,50,0.0001,209,Adam,0.1685,0.0977
141,IFVAE,50,0.0001,219,Adam,0.1688,0.0977
142,IFVAE,50,0.0001,229,Adam,0.1687,0.098
143,IFVAE,50,0.0001,239,Adam,0.1696,0.0978
144,IFVAE,50,0.0001,249,Adam,0.1697,0.0979
145,IFVAE,50,0.0001,259,Adam,0.1698,0.0983
146,IFVAE,50,0.0001,269,Adam,0.17,0.0982
147,IFVAE,50,0.0001,279,Adam,0.1707,0.0988
148,IFVAE,50,0.0001,289,Adam,0.1713,0.0986
149,IFVAE,50,0.0001,299,Adam,0.1709,0.0986
150,IFVAE,50,0.0001,9,SGD,0.1223,0.0735
151,IFVAE,50,0.0001,19,SGD,0.1224,0.0735
152,IFVAE,50,0.0001,29,SGD,0.1225,0.0736
153,IFVAE,50,0.0001,39,SGD,0.1225,0.0735
154,IFVAE,50,0.0001,49,SGD,0.1225,0.0735
155,IFVAE,50,0.0001,59,SGD,0.1225,0.0734
156,IFVAE,50,0.0001,69,SGD,0.1225,0.0734
157,IFVAE,50,0.0001,79,SGD,0.1225,0.0734
158,IFVAE,50,0.0001,89,SGD,0.1226,0.0734
159,IFVAE,50,0.0001,99,SGD,0.1226,0.0735
160,IFVAE,50,0.0001,109,SGD,0.1227,0.0736
161,IFVAE,50,0.0001,119,SGD,0.1228,0.0736
162,IFVAE,50,0.0001,129,SGD,0.1229,0.0737
163,IFVAE,50,0.0001,139,SGD,0.1229,0.0738
164,IFVAE,50,0.0001,149,SGD,0.123,0.0739
165,IFVAE,50,0.0001,159,SGD,0.123,0.0739
166,IFVAE,50,0.0001,169,SGD,0.1231,0.0739
167,IFVAE,50,0.0001,179,SGD,0.1232,0.0739
168,IFVAE,50,0.0001,189,SGD,0.1232,0.0739
169,IFVAE,50,0.0001,199,SGD,0.1234,0.0739
170,IFVAE,50,0.0001,209,SGD,0.1234,0.0738
171,IFVAE,50,0.0001,219,SGD,0.1235,0.0738
172,IFVAE,50,0.0001,229,SGD,0.1235,0.0738
173,IFVAE,50,0.0001,239,SGD,0.1236,0.0739
174,IFVAE,50,0.0001,249,SGD,0.1236,0.074
175,IFVAE,50,0.0001,259,SGD,0.1236,0.074
176,IFVAE,50,0.0001,269,SGD,0.1237,0.074
177,IFVAE,50,0.0001,279,SGD,0.1238,0.0741
178,IFVAE,50,0.0001,289,SGD,0.1237,0.0741
179,IFVAE,50,0.0001,299,SGD,0.1237,0.0741
180,IFVAE,50,0.0001,9,RMSProp,0.1285,0.0768
181,IFVAE,50,0.0001,19,RMSProp,0.1393,0.0833
182,IFVAE,50,0.0001,29,RMSProp,0.1451,0.0864
183,IFVAE,50,0.0001,39,RMSProp,0.1489,0.0881
184,IFVAE,50,0.0001,49,RMSProp,0.1526,0.0897
185,IFVAE,50,0.0001,59,RMSProp,0.1545,0.0901
186,IFVAE,50,0.0001,69,RMSProp,0.157,0.0912
187,IFVAE,50,0.0001,79,RMSProp,0.1596,0.093
188,IFVAE,50,0.0001,89,RMSProp,0.1611,0.0937
189,IFVAE,50,0.0001,99,RMSProp,0.1625,0.0948
190,IFVAE,50,0.0001,109,RMSProp,0.1637,0.0946
191,IFVAE,50,0.0001,119,RMSProp,0.165,0.0955
192,IFVAE,50,0.0001,129,RMSProp,0.166,0.0958
193,IFVAE,50,0.0001,139,RMSProp,0.1662,0.0954
194,IFVAE,50,0.0001,149,RMSProp,0.1675,0.0965
195,IFVAE,50,0.0001,159,RMSProp,0.1679,0.0967
196,IFVAE,50,0.0001,169,RMSProp,0.1671,0.0965
