model,rank,lambda,epoch,optimizer,NDCG,R-Precision
AutoRec,200,1e-05,339,RMSProp,0.1673,0.0949
AutoRec,200,1e-05,359,RMSProp,0.1671,0.0943
AutoRec,200,1e-05,379,RMSProp,0.1671,0.094
AutoRec,200,1e-05,399,RMSProp,0.1671,0.0933
AutoRec,200,1e-05,419,RMSProp,0.167,0.0937
AutoRec,200,1e-05,439,RMSProp,0.1668,0.0929
AutoRec,200,1e-05,459,RMSProp,0.1665,0.0924
AutoRec,200,1e-05,479,RMSProp,0.1659,0.0919
AutoRec,200,1e-05,499,RMSProp,0.1655,0.091
AutoRec,200,1e-05,519,RMSProp,0.1649,0.0903
AutoRec,200,1e-05,539,RMSProp,0.1645,0.0899
AutoRec,200,1e-05,559,RMSProp,0.1642,0.0895
AutoRec,200,1e-05,579,RMSProp,0.1636,0.0892
AutoRec,200,1e-05,599,RMSProp,0.163,0.089
AutoRec,200,1e-05,619,RMSProp,0.1625,0.0893
AutoRec,200,1e-05,639,RMSProp,0.1622,0.0893
AutoRec,200,1e-05,659,RMSProp,0.162,0.089
AutoRec,200,1e-05,679,RMSProp,0.1617,0.0886
AutoRec,200,1e-05,699,RMSProp,0.1612,0.0884
AutoRec,200,1e-05,719,RMSProp,0.1608,0.0882
AutoRec,200,1e-05,739,RMSProp,0.1605,0.0883
AutoRec,200,1e-05,759,RMSProp,0.1603,0.0882
AutoRec,200,1e-05,779,RMSProp,0.1599,0.0879
AutoRec,200,1e-05,799,RMSProp,0.1596,0.0878
AutoRec,200,1e-05,819,RMSProp,0.1595,0.0878
AutoRec,200,1e-05,839,RMSProp,0.1593,0.0878
AutoRec,200,1e-05,859,RMSProp,0.1591,0.0877
AutoRec,200,1e-05,879,RMSProp,0.1588,0.0877
AutoRec,200,1e-05,899,RMSProp,0.1585,0.0876
AutoRec,200,1e-05,919,RMSProp,0.1583,0.0874
AutoRec,200,1e-05,939,RMSProp,0.1582,0.0872
AutoRec,200,1e-05,959,RMSProp,0.1581,0.0873
AutoRec,200,1e-05,979,RMSProp,0.158,0.0871
AutoRec,200,1e-05,999,RMSProp,0.1579,0.087
CDAE,200,1e-05,19,RMSProp,0.1219,0.0742
CDAE,200,1e-05,39,RMSProp,0.1269,0.0771
CDAE,200,1e-05,59,RMSProp,0.135,0.0825
CDAE,200,1e-05,79,RMSProp,0.1427,0.0871
CDAE,200,1e-05,99,RMSProp,0.146,0.0886
CDAE,200,1e-05,119,RMSProp,0.1491,0.0906
CDAE,200,1e-05,139,RMSProp,0.1524,0.092
CDAE,200,1e-05,159,RMSProp,0.1545,0.0932
CDAE,200,1e-05,179,RMSProp,0.156,0.0938
CDAE,200,1e-05,199,RMSProp,0.1571,0.0944
CDAE,200,1e-05,219,RMSProp,0.1575,0.0942
CDAE,200,1e-05,239,RMSProp,0.1579,0.0939
CDAE,200,1e-05,259,RMSProp,0.1583,0.0942
CDAE,200,1e-05,279,RMSProp,0.1587,0.094
CDAE,200,1e-05,299,RMSProp,0.1589,0.0939
CDAE,200,1e-05,319,RMSProp,0.1589,0.0943
CDAE,200,1e-05,339,RMSProp,0.1589,0.0942
CDAE,200,1e-05,359,RMSProp,0.1591,0.0942
CDAE,200,1e-05,379,RMSProp,0.1593,0.0943
CDAE,200,1e-05,399,RMSProp,0.1599,0.0947
CDAE,200,1e-05,419,RMSProp,0.1602,0.0947
CDAE,200,1e-05,439,RMSProp,0.1604,0.0947
CDAE,200,1e-05,459,RMSProp,0.1604,0.0947
CDAE,200,1e-05,479,RMSProp,0.1609,0.0945
CDAE,200,1e-05,499,RMSProp,0.1611,0.0948
CDAE,200,1e-05,519,RMSProp,0.1615,0.0952
CDAE,200,1e-05,539,RMSProp,0.1616,0.0949
CDAE,200,1e-05,559,RMSProp,0.1617,0.0952
CDAE,200,1e-05,579,RMSProp,0.162,0.0953
CDAE,200,1e-05,599,RMSProp,0.1621,0.0953
CDAE,200,1e-05,619,RMSProp,0.1621,0.0952
CDAE,200,1e-05,639,RMSProp,0.1624,0.0956
CDAE,200,1e-05,659,RMSProp,0.1626,0.0957
CDAE,200,1e-05,679,RMSProp,0.1624,0.0953
CDAE,200,1e-05,699,RMSProp,0.1624,0.0957
CDAE,200,1e-05,719,RMSProp,0.1628,0.0959
CDAE,200,1e-05,739,RMSProp,0.1624,0.0954
CDAE,200,1e-05,759,RMSProp,0.1625,0.0957
CDAE,200,1e-05,779,RMSProp,0.1625,0.0954
CDAE,200,1e-05,799,RMSProp,0.1626,0.0958
CDAE,200,1e-05,819,RMSProp,0.1624,0.0957
CDAE,200,1e-05,839,RMSProp,0.1626,0.0955
CDAE,200,1e-05,859,RMSProp,0.1627,0.0958
CDAE,200,1e-05,879,RMSProp,0.163,0.0958
CDAE,200,1e-05,899,RMSProp,0.1628,0.0956
CDAE,200,1e-05,919,RMSProp,0.1626,0.0954
CDAE,200,1e-05,939,RMSProp,0.1629,0.0954
CDAE,200,1e-05,959,RMSProp,0.1627,0.0952
CDAE,200,1e-05,979,RMSProp,0.1627,0.0953
CDAE,200,1e-05,999,RMSProp,0.1632,0.0958
VAE-CF,200,1e-05,19,RMSProp,0.145,0.0883
VAE-CF,200,1e-05,39,RMSProp,0.1553,0.0928
VAE-CF,200,1e-05,59,RMSProp,0.1578,0.0915
VAE-CF,200,1e-05,79,RMSProp,0.1601,0.0918
VAE-CF,200,1e-05,99,RMSProp,0.1626,0.0923
VAE-CF,200,1e-05,119,RMSProp,0.1636,0.092
VAE-CF,200,1e-05,139,RMSProp,0.1641,0.0915
VAE-CF,200,1e-05,159,RMSProp,0.1642,0.0914
VAE-CF,200,1e-05,179,RMSProp,0.1644,0.0908
VAE-CF,200,1e-05,199,RMSProp,0.1643,0.0903
VAE-CF,200,1e-05,219,RMSProp,0.1641,0.09
VAE-CF,200,1e-05,239,RMSProp,0.1636,0.0896
VAE-CF,200,1e-05,259,RMSProp,0.163,0.0884
VAE-CF,200,1e-05,279,RMSProp,0.1626,0.088
VAE-CF,200,1e-05,299,RMSProp,0.1627,0.0875
VAE-CF,200,1e-05,319,RMSProp,0.1621,0.0882
VAE-CF,200,1e-05,339,RMSProp,0.1623,0.0879
VAE-CF,200,1e-05,359,RMSProp,0.1621,0.0878
VAE-CF,200,1e-05,379,RMSProp,0.1617,0.0877
VAE-CF,200,1e-05,399,RMSProp,0.1613,0.0878
VAE-CF,200,1e-05,419,RMSProp,0.1613,0.0879
VAE-CF,200,1e-05,439,RMSProp,0.1613,0.0876
VAE-CF,200,1e-05,459,RMSProp,0.1614,0.0876
VAE-CF,200,1e-05,479,RMSProp,0.1614,0.0873
VAE-CF,200,1e-05,499,RMSProp,0.1616,0.0875
VAE-CF,200,1e-05,519,RMSProp,0.1616,0.0875
VAE-CF,200,1e-05,539,RMSProp,0.1618,0.0874
VAE-CF,200,1e-05,559,RMSProp,0.1617,0.0876
VAE-CF,200,1e-05,579,RMSProp,0.1616,0.0875
VAE-CF,200,1e-05,599,RMSProp,0.1619,0.0877
VAE-CF,200,1e-05,619,RMSProp,0.1616,0.0873
VAE-CF,200,1e-05,639,RMSProp,0.1621,0.0881
VAE-CF,200,1e-05,659,RMSProp,0.162,0.0881
VAE-CF,200,1e-05,679,RMSProp,0.1617,0.0877
VAE-CF,200,1e-05,699,RMSProp,0.162,0.0879
VAE-CF,200,1e-05,719,RMSProp,0.1616,0.0878
VAE-CF,200,1e-05,739,RMSProp,0.1617,0.0879
VAE-CF,200,1e-05,759,RMSProp,0.1613,0.0877
VAE-CF,200,1e-05,779,RMSProp,0.1615,0.088
VAE-CF,200,1e-05,799,RMSProp,0.1617,0.088
VAE-CF,200,1e-05,819,RMSProp,0.1617,0.0883
VAE-CF,200,1e-05,839,RMSProp,0.1616,0.0881
VAE-CF,200,1e-05,859,RMSProp,0.1616,0.0879
VAE-CF,200,1e-05,879,RMSProp,0.1614,0.0878
VAE-CF,200,1e-05,899,RMSProp,0.1612,0.088
VAE-CF,200,1e-05,919,RMSProp,0.1612,0.0878
VAE-CF,200,1e-05,939,RMSProp,0.1611,0.0882
VAE-CF,200,1e-05,959,RMSProp,0.1611,0.0881
VAE-CF,200,1e-05,979,RMSProp,0.1607,0.0881
VAE-CF,200,1e-05,999,RMSProp,0.1608,0.088
IFVAE,50,0.0001,19,RMSProp,0.1345,0.08
IFVAE,50,0.0001,39,RMSProp,0.1457,0.0859
IFVAE,50,0.0001,59,RMSProp,0.1538,0.0893
IFVAE,50,0.0001,79,RMSProp,0.1586,0.0917
IFVAE,50,0.0001,99,RMSProp,0.1619,0.0927
IFVAE,50,0.0001,119,RMSProp,0.1664,0.0947
IFVAE,50,0.0001,139,RMSProp,0.1676,0.096
IFVAE,50,0.0001,159,RMSProp,0.1686,0.0966
IFVAE,50,0.0001,179,RMSProp,0.1697,0.0965
IFVAE,50,0.0001,199,RMSProp,0.1698,0.0963
IFVAE,50,0.0001,219,RMSProp,0.1698,0.0958
IFVAE,50,0.0001,239,RMSProp,0.1702,0.0969
IFVAE,50,0.0001,259,RMSProp,0.1702,0.097
IFVAE,50,0.0001,279,RMSProp,0.1702,0.0971
IFVAE,50,0.0001,299,RMSProp,0.1694,0.0964
IFVAE,50,0.0001,319,RMSProp,0.1698,0.0971
IFVAE,50,0.0001,339,RMSProp,0.1688,0.0966
IFVAE,50,0.0001,359,RMSProp,0.1693,0.0958
