Clicks	MAP@1	NDCG	Num_Ones_In_Prediction	Num_Ones_In_Test	Num_Ones_In_Train	Num_Zeros_In_Prediction	Precision@1	R-Precision	Recall@1	active_learning_iteration	active_learning_model	rec_model	rank	alpha	lambda	iter	corruption	root	sampling	total_num_active_learning_iteration
(2.572043723087115, 0.08914235826355682)	(0.485591255382577, 0.017828471652711366)	(0.03392458618764665, 0.001707680293426045)	1466	284388	10580	1553	(0.485591255382577, 0.017828471652711366)	(0.009822194544958248, 0.000625354457633181)	(0.009822194544958248, 0.000625354457633181)	68	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5604504802914874, 0.08915332077402448)	(0.4879099039417025, 0.017830664154804898)	(0.034021128975061314, 0.0017071636366633857)	1473	284388	10581	1546	(0.4879099039417025, 0.017830664154804898)	(0.00984324679426547, 0.0006251143449316948)	(0.00984324679426547, 0.0006251143449316948)	69	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5521695925803245, 0.08915997592634571)	(0.4895660814839351, 0.01783199518526914)	(0.03401917463925342, 0.0017021212963788672)	1478	284388	10581	1541	(0.4895660814839351, 0.01783199518526914)	(0.00982270245105142, 0.0006229687630192396)	(0.00982270245105142, 0.0006229687630192396)	70	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.572043723087115, 0.0891423582635568)	(0.485591255382577, 0.017828471652711366)	(0.03382055519730866, 0.0017029828730543274)	1466	284388	10582	1553	(0.485591255382577, 0.017828471652711366)	(0.009778455018699062, 0.0006232728677185256)	(0.009778455018699062, 0.0006232728677185256)	71	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.553825770122557, 0.08915872322974476)	(0.48923484597548855, 0.01783174464594895)	(0.03412359855603237, 0.0017070806726816744)	1477	284388	10582	1542	(0.48923484597548855, 0.01783174464594895)	(0.009867897968226614, 0.0006249913377403625)	(0.009867897968226614, 0.0006249913377403625)	72	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5637628353759525, 0.08915038451947213)	(0.48724743292480954, 0.01783007690389442)	(0.03389092499559096, 0.001701602587631966)	1471	284388	10582	1548	(0.48724743292480954, 0.01783007690389442)	(0.009790121575903825, 0.0006224459514866721)	(0.009790121575903825, 0.0006224459514866721)	73	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5554819476647896, 0.08915743136794053)	(0.48890361046704206, 0.017831486273588104)	(0.034063394054105176, 0.0017048886409046806)	1476	284388	10582	1543	(0.48890361046704206, 0.017831486273588104)	(0.0098448396745857, 0.000623831711696382)	(0.0098448396745857, 0.000623831711696382)	74	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.553825770122557, 0.08915872322974476)	(0.48923484597548855, 0.01783174464594895)	(0.03399074379271348, 0.0017011687066923148)	1477	284388	10582	1542	(0.48923484597548855, 0.01783174464594895)	(0.009812437649865913, 0.0006222047338342737)	(0.009812437649865913, 0.0006222047338342737)	75	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5654190129181846, 0.08914885762888507)	(0.48691619741636305, 0.017829771525777013)	(0.03381404406175436, 0.0016990025012178609)	1470	284388	10583	1549	(0.48691619741636305, 0.017829771525777013)	(0.009761106681032992, 0.0006214972429088691)	(0.009761106681032992, 0.0006214972429088691)	76	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5604504802914874, 0.08915332077402448)	(0.4879099039417025, 0.017830664154804898)	(0.03399206123877283, 0.0017048344336185477)	1473	284388	10583	1546	(0.4879099039417025, 0.017830664154804898)	(0.009827271040931564, 0.0006239053868236986)	(0.009827271040931564, 0.0006239053868236986)	77	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.558794302749255, 0.08915473014186047)	(0.4882411394501491, 0.01783094602837209)	(0.03404051208724732, 0.001704084506910004)	1474	284388	10584	1545	(0.4882411394501491, 0.01783094602837209)	(0.009836437432999013, 0.0006234044031612996)	(0.009836437432999013, 0.0006234044031612996)	78	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5422325273269295, 0.08916666972550827)	(0.4915534945346141, 0.017833333945101656)	(0.03417317077536611, 0.0017036909585571496)	1484	284388	10584	1535	(0.4915534945346141, 0.017833333945101656)	(0.009866349027622701, 0.0006234412092820757)	(0.009866349027622701, 0.0006234412092820757)	79	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
